# Ref,Val,Package,PosX,PosY,Rot,Side
U1,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,32.5,-32.5,180,top
U2,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,32.5,-40,180,top
U3,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,32.5,-47.5,0,top
U4,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,32.5,-55,0,top
U5,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,40,-55,0,top
U6,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,40,-62.5,0,top
U7,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,47.5,-62.5,0,top
U8,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,47.5,-70,0,top
U9,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,62.5,-70,180,top
U10,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,62.5,-62.5,180,top
U11,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,70,-62.5,180,top
U12,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,70,-55,180,top
U13,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,77.5,-55,180,top
U14,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,77.55,-47.55,180,top
U15,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,77.5,-40,0,top
U16,MCP14A0304T-E/MNY,WDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,77.5,-32.5,0,top
## End,,,,,,
